"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FA106060005.A","Z1/Z1/FA106231005.A","Z1/Z1/FA106121075.A","Z1/Z1/FA105020601.A","Z1/Z1/FA106300015.A","Z1/Z1/FA106006065.A","Z1/Z1/FA105440005.A","Z1/Z1/FA106000105.A","Z1/Z1/FA105090005.A","Z1/Z1/FA105050005.A","Z1/Z1/FA105019005.A","Z1/Z1/FA105020005.A","Z1/Z1/FA105420005.A","Z1/Z1/FA105000005.A","Z1/Z1/FA104090005.A","Z1/Z1/FA103091003.A","Z1/Z1/FA103020000.A","Z1/Z1/FA103030003.A","Z1/Z1/FA103034000.A","Z1/Z1/FA102051003.A","Z1/Z1/FA104022005.A","Z1/Z1/FA103069100.A","Z1/Z1/FA103061103.A","Z1/Z1/FA103061703.A","Z1/Z1/FA103062003.A","Z1/Z1/FA104023005.A","Z1/Z1/FA103065003.A","Z1/Z1/FA103066005.A","Z1/Z1/FA103064103.A","Z1/Z1/FA103064203.A","Z1/Z1/FA103070005.A","Z1/Z1/FA103092005.A","Z1/Z1/FA103090005.A","Z1/Z1/FA104194005.A","Z1/Z1/FA104122005.A","Z1/Z1/FA103169100.A","Z1/Z1/FA103162000.A","Z1/Z1/FA103163003.A","Z1/Z1/FA104123005.A","Z1/Z1/FA103168005.A","Z1/Z1/FA103169005.A","Z1/Z1/FA103165005.A","Z1/Z1/FA103164103.A","Z1/Z1/FA103170005.A","Z1/Z1/FA103178005.A","Z1/Z1/FA103192005.A","Z1/Z1/FA103190005.A","Z1/Z1/FA573074005.A","Z1/Z1/FA573073005.A","Z1/Z1/FA103193005.A","Z1/Z1/FA107005005.A","Z1/Z1/FA105005305.A"
"Time Period","FA106060005.A","FA106231005.A","FA106121075.A","FA105020601.A","FA106300015.A","FA106006065.A","FA105440005.A","FA106000105.A","FA105090005.A","FA105050005.A","FA105019005.A","FA105020005.A","FA105420005.A","FA105000005.A","FA104090005.A","FA103091003.A","FA103020000.A","FA103030003.A","FA103034000.A","FA102051003.A","FA104022005.A","FA103069100.A","FA103061103.A","FA103061703.A","FA103062003.A","FA104023005.A","FA103065003.A","FA103066005.A","FA103064103.A","FA103064203.A","FA103070005.A","FA103092005.A","FA103090005.A","FA104194005.A","FA104122005.A","FA103169100.A","FA103162000.A","FA103163003.A","FA104123005.A","FA103168005.A","FA103169005.A","FA103165005.A","FA103164103.A","FA103170005.A","FA103178005.A","FA103192005.A","FA103190005.A","FA573074005.A","FA573073005.A","FA103193005.A","FA107005005.A","FA105005305.A"
1991,232413,88598,125493,4927,453982,45714,0,522946,457735,521679,522688,727,-1737,-63944,51628,1718,5328,3017,6002,-517,28610,859,5777,1827,20147,2047,6200,-4153,6468,2409,-5798,38081,-35737,115572,59224,-18375,-1169,78768,-113409,-47382,-57194,-8833,18250,23105,-9410,-1334,139146,12072,24664,102410,65211,44447
1992,257057,94429,134266,-2821,468644,39335,-6955,540475,367935,549256,541036,9965,-1745,-181320,149027,-644,-5824,-1590,15015,3437,23980,2349,17163,3473,995,3817,1064,2753,-32617,5036,27562,39958,70897,330347,80499,8629,4301,67569,-65309,-31530,6314,-40093,27000,33402,6452,6732,241571,9918,73538,158115,172539,48116
1993,309098,108041,149182,-4021,491216,48296,-603,587969,632208,601049,577835,24915,-1701,31159,323258,-1289,19347,15991,-2534,-2551,9986,2367,-11750,10474,8895,-839,-7753,6914,46753,6803,50678,57913,123000,292099,199968,10012,6579,183377,-66750,-7294,-27293,-32163,21300,36441,5381,20343,75416,12315,7662,55439,-44239,61376
1994,397866,132356,157976,-12436,528843,33760,-3258,660958,692561,677909,629726,49895,-1712,14652,278858,1162,7497,4387,7397,-328,4210,-585,1981,816,1998,13462,4070,9392,-31197,2084,71933,78506,119745,264206,118813,21409,6825,90579,72211,47513,31121,-6423,-44900,77272,-410,46067,-4847,11689,-18420,1883,-31604,50711
1995,452020,140323,178025,-18284,566552,52481,-444,734866,748793,760744,716310,38497,5936,-11950,345896,1739,2564,3319,24760,262,-8779,1316,6278,3546,-19919,6,1568,-1562,-2959,4648,77964,90322,152050,357846,86787,18113,3069,65605,104347,77319,28903,-1876,-58330,80968,-6,54866,89214,5432,79719,4063,-13927,78359
1996,488919,152928,197550,3071,606429,53938,0,801879,816362,800265,775328,21521,3417,16097,389938,10805,-721,29982,17658,1464,678,11392,-10003,5059,-5770,-10887,-3571,-7316,28300,9087,88122,76794,138656,373841,89749,-946,3093,87602,72004,43831,17343,10830,-47325,49513,9563,71528,128809,5428,82993,40388,-14483,52324
1997,527104,161359,215946,14090,649116,52616,0,865621,855268,917182,847166,62155,7861,-61914,138463,-5069,-11441,34704,24207,658,-39784,4611,-20249,-20509,-3637,32559,25895,6664,93212,1728,88043,84273,-164627,200377,145737,13726,4151,127860,133031,55087,50273,27671,-77375,65078,9342,99006,-174442,8387,95797,-278625,10353,104177
1998,486404,158668,241033,15743,692298,52929,0,847673,994635,965664,904198,57148,4317,28971,744438,7379,-16236,28214,42885,-354,1063,3288,-3231,2638,-1632,-18044,-12984,-5060,129790,14576,87326,129183,338656,715467,247866,24360,5761,217745,142352,80654,60188,1510,-215537,57607,4844,144888,333448,12881,96506,224060,-146962,170920
1999,489554,166463,224667,-3954,742616,69966,-878,907929,1032083,1049181,992834,57194,-848,-17098,959761,942,29366,44289,35064,1585,5037,8171,-4195,1807,-746,-29262,-26034,-3228,476391,9848,209160,199919,-22578,976859,243807,37368,5063,201376,122971,48601,28082,46288,-110368,178474,6974,182768,352233,-18370,115249,255354,-124154,211218
2000,451199,165085,251327,-16809,785930,102629,0,906537,1302082,1146699,1097556,50316,-1172,155383,1483417,-7431,34835,35466,17131,-1589,18789,10161,-1315,3007,6936,7677,2308,5369,-159028,332,281641,136357,1119237,1328034,185930,48076,1361,136493,157189,55216,77756,24217,-118204,313252,6960,248541,534366,-19092,117932,435526,-395545,342791
